,participant,word,onset,ep_type,last_sound,context
270,2,swats,sw,none,na,context
271,2,sweeping,sw,none,z,passage
272,2,sweeping,sw,none,na,context
273,2,sweeps,sw,none,d,passage
274,2,sweeps,sw,none,na,context
275,2,swim,sw,none,d,passage
276,2,swim,sw,none,na,context
277,2,swoon,sw,none,n,passage
278,2,swoon,sw,none,na,context
279,2,thrashing,θr,none,z,passage
280,2,thrashing,θr,none,na,context
281,2,thread,θr,none,r,passage
282,2,thread,θr,none,na,context
283,2,three,θr,none,m,passage
284,2,three,θr,none,na,context
285,2,throttle,θr,none,z,passage
286,2,throttle,θr,none,na,context
287,2,trot,tr,none,z,passage
288,2,trot,tr,none,na,context
289,2,tweaking,tw,none,n,passage
290,2,tweaking,tw,none,na,context
291,2,twin,tw,none,r,passage
292,2,twin,tw,none,na,context
293,2,twitches,tw,none,n,passage
294,2,twitches,tw,none,na,context
295,3,beautiful,bj,none,r,passage
296,3,beautiful,bj,none,na,context
297,3,breeze,br,none,e,passage
298,3,breeze,br,none,na,context
299,3,bring,br,none,r,passage
300,3,bring,br,none,na,context
301,3,brings,br,none,r,passage
302,3,brings,br,none,na,context
303,3,brother,br,none,n,passage
304,3,brother,br,none,na,context
305,3,bugle,bj,none,f,passage
306,3,bugle,bj,none,na,context
307,3,clean,kl,none,n,passage
308,3,clean,kl,none,na,context
309,3,creek,kr,none,r,passage
310,3,creek,kr,none,na,context
311,3,cute,kj,none,e,passage
312,3,cute,kj,none,na,context
313,3,dreaming,dr,none,p,passage
314,3,dreaming,dr,none,na,context
315,3,drink,dr,none,i,passage
316,3,drink,dr,none,na,context
317,3,dwarf,dw,none,e,passage
318,3,dwarf,dw,none,na,context
319,3,dwayne,dw,none,na,passage
320,3,dwayne,dw,none,na,context
321,3,flickering,fl,none,t,passage
322,3,flickering,fl,none,na,context
323,3,flock,fl,none,e,passage
324,3,flock,fl,none,na,context
325,3,floor,fl,none,i,passage
326,3,floor,fl,none,na,context
327,3,fly,fl,none,s,passage
328,3,fly,fl,none,na,context
329,3,flying,fl,none,s,passage
330,3,flying,fl,none,na,context
331,3,freaks,fr,none,i,passage
332,3,freaks,fr,none,na,context
333,3,gloves,gl,none,l,passage
334,3,gloves,gl,none,na,context
335,3,grabs,gr,none,d,passage
336,3,grabs,gr,none,na,context
337,3,ground,gr,none,e,passage
338,3,ground,gr,none,na,context
339,3,place,pl,none,u,passage
340,3,place,pl,none,na,context
341,3,please,pl,none,na,passage
342,3,please,pl,none,na,context
343,3,plethora,pl,none,e,passage
344,3,plethora,pl,none,na,context
345,3,quacks,kw,none,d,passage
346,3,quacks,kw,none,na,context
347,3,queen,kw,none,e,passage
348,3,queen,kw,none,na,context
349,3,quickly,kw,none,r,passage
350,3,quickly,kw,none,na,context
351,3,scarlett,sk,none,k,passage
352,3,scarlett,sk,none,na,context
353,3,scoop,sk,none,n,passage
354,3,scoop,sk,none,na,context
355,3,skeptical,sk,none,z,passage
356,3,skeptical,sk,none,na,context
357,3,skin,sk,none,z,passage
358,3,skin,sk,none,na,context
359,3,skip,sk,none,n,passage
360,3,skip,sk,none,na,context
361,3,sleep,sl,none,d,passage
362,3,sleep,sl,none,na,context
363,3,slips,sl,none,u,passage
364,3,slips,sl,none,na,context
365,3,sloth,sl,none,l,passage
