participant,word,onset,ep_type,has_ep,preceding_v,context,s_initial,gender,dominant_language,current_farsi_exposure,current_english_exposure,length_of_farsi_residence,farsi_speaking_proficiency,farsi_understanding_proficiency,farsi_reading_proficiency,age_of_english_acquisition,age_of_english_fluency,length_of_english_residence,english_speaking_proficiency,english_understanding_proficiency,english_reading_proficiency,PC1_acquisition_exposure,PC1_immersion,PC1_self_report,PC1_original,PC2_original
1,snag,sn,"pre-
epenthesis",TRUE,FALSE,passage,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,snag,sn,none,FALSE,FALSE,context,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,snaps,sn,none,FALSE,FALSE,passage,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,snaps,sn,none,FALSE,FALSE,context,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,snatch,sn,none,FALSE,FALSE,passage,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,snatch,sn,none,FALSE,FALSE,context,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,sniffs,sn,"pre-
epenthesis",TRUE,TRUE,passage,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,sniffs,sn,none,FALSE,FALSE,context,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,snips,sn,"pre-
epenthesis",TRUE,TRUE,passage,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,snips,sn,none,FALSE,FALSE,context,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,snoops,sn,none,FALSE,FALSE,passage,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,snoops,sn,none,FALSE,FALSE,context,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,snow,sn,none,FALSE,TRUE,passage,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,snow,sn,none,FALSE,FALSE,context,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,spark,sp,none,FALSE,FALSE,passage,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,spark,sp,none,FALSE,FALSE,context,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,speed,sp,"pre-
epenthesis",TRUE,FALSE,passage,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,speed,sp,none,FALSE,FALSE,context,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,start,st,"pre-
epenthesis",TRUE,FALSE,passage,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,start,st,none,FALSE,FALSE,context,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,starts,st,none,FALSE,FALSE,passage,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,starts,st,"pre-
epenthesis",TRUE,FALSE,passage,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,starts,st,none,FALSE,FALSE,context,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,steps,st,none,FALSE,FALSE,passage,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,steps,st,none,FALSE,FALSE,context,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,stop,st,none,FALSE,FALSE,passage,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,stop,st,none,FALSE,FALSE,context,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
