participant,word,onset,ep_type,has_ep,preceding_v,context,nap_sonority,sonority_delta,s_initial,gender,dominant_language,current_farsi_exposure,current_english_exposure,length_of_farsi_residence,farsi_speaking_proficiency,farsi_understanding_proficiency,farsi_reading_proficiency,age_of_english_acquisition,age_of_english_fluency,length_of_english_residence,english_speaking_proficiency,english_understanding_proficiency,english_reading_proficiency,PC1_acquisition_exposure,PC1_immersion,PC1_self_report,PC1_original,PC2_original
1,slips,sl,none,FALSE,TRUE,passage,5,2,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,place,pl,none,FALSE,TRUE,passage,5,3,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,tweaking,tw,none,FALSE,FALSE,passage,6,4,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,sweeping,sw,none,FALSE,FALSE,passage,6,3,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,sloth,sl,none,FALSE,FALSE,passage,5,2,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,sniffs,sn,none,FALSE,TRUE,passage,5,1,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,flock,fl,none,FALSE,TRUE,passage,5,2,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,snatch,sn,none,FALSE,FALSE,passage,5,1,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,small,sm,none,FALSE,FALSE,passage,5,1,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,slow,sl,none,FALSE,FALSE,passage,5,2,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,stop,st,none,FALSE,FALSE,passage,3,-1,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,smacked,sm,none,FALSE,FALSE,passage,5,1,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,skeptical,sk,prothesis,TRUE,FALSE,passage,3,-1,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,fly,fl,none,FALSE,FALSE,passage,5,2,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,breeze,br,none,FALSE,TRUE,passage,3,3,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,queen,kw,none,FALSE,TRUE,passage,6,4,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,twitches,tw,none,FALSE,FALSE,passage,6,4,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,throttle,θr,none,FALSE,FALSE,passage,5,2,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,brings,br,none,FALSE,FALSE,passage,3,3,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,three,θr,none,FALSE,FALSE,passage,5,2,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,sleep,sl,none,FALSE,FALSE,passage,5,2,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,scarlett,sk,prothesis,TRUE,FALSE,passage,3,-1,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,creek,kr,none,FALSE,FALSE,passage,5,3,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,plethora,pl,none,FALSE,TRUE,passage,5,3,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,snow,sn,none,FALSE,TRUE,passage,5,1,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,smelling,sm,prothesis,TRUE,FALSE,passage,5,1,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,brother,br,none,FALSE,FALSE,passage,3,3,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,freaks,fr,none,FALSE,TRUE,passage,5,2,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,starts,st,none,FALSE,FALSE,passage,3,-1,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,trot,tr,none,FALSE,FALSE,context,5,3,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,snaps,sn,none,FALSE,FALSE,context,5,1,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,dwayne,dw,none,FALSE,FALSE,context,4,4,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,cute,kj,none,FALSE,FALSE,context,6,4,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,swats,sw,none,FALSE,FALSE,context,6,3,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,gloves,gl,none,FALSE,FALSE,context,3,3,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,smith,sm,none,FALSE,FALSE,context,5,1,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
1,starts,st,none,FALSE,FALSE,context,3,-1,TRUE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.9312653817527178,-1.0686390540153994,-2.579426606240923,-2.6906524613542206,2.2102374324863803
