participant,word,onset,ep_type,has_ep,preceding_v,context,nap_sonority,sonority_delta,gender,dominant_language,current_farsi_exposure,current_english_exposure,length_of_farsi_residence,farsi_speaking_proficiency,farsi_understanding_proficiency,farsi_reading_proficiency,age_of_english_acquisition,age_of_english_fluency,length_of_english_residence,english_speaking_proficiency,english_understanding_proficiency,english_reading_proficiency,PC1,PC2,onset_bigram,bi_prob_smoothed
1,speed,sp,prothesis,TRUE,FALSE,passage,3,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,S P,-4.898904003978995
1,smiles,sm,none,FALSE,FALSE,passage,5,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,S M,-5.980379245577114
1,swoon,sw,none,FALSE,FALSE,passage,6,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,S W,-5.3518117100599705
1,slouched,sl,none,FALSE,FALSE,passage,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,S L,-5.015945325237484
1,swim,sw,none,FALSE,FALSE,passage,6,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,S W,-5.3518117100599705
1,dreaming,dr,none,FALSE,FALSE,passage,3,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,D R,-5.022968145018844
1,twin,tw,none,FALSE,FALSE,passage,6,4,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,T W,-6.71044976457928
1,clean,kl,none,FALSE,FALSE,passage,5,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,K L,-4.836066891269524
1,snips,sn,prothesis,TRUE,TRUE,passage,5,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,S N,-5.702531277356194
1,ground,gr,none,FALSE,TRUE,passage,3,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,G R,-4.587983375978652
1,slips,sl,none,FALSE,TRUE,passage,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,S L,-5.015945325237484
