Input,Output,Frequency,DEP-[ə]/S_T,C//V,C/V,L-ANCHOR,CONTIGUITY,DEP-[ə]/S_N,DEP-[ə]/S_L,DEP-[ə]/S_W,DEP-[ə]/T_R,COMPLEX
swoon,sewoon,0,0,0,0,0,1,0,0,1,0,0
swoon,eswoon,0,0,0,1,1,0,0,0,0,0,0
thrashing,thrashing,2,0,1,1,0,0,0,0,0,0,1
thrashing,therashing,0,0,0,0,0,1,0,0,0,1,0
thrashing,ethrashing,0,0,0,1,1,0,0,0,0,0,0
thread,thread,2,0,1,1,0,0,0,0,0,0,1
thread,theread,0,0,0,0,0,1,0,0,0,1,0
thread,ethread,0,0,0,1,1,0,0,0,0,0,0
three,three,2,1,1,0,0,0,0,0,0,1,0
three,theree,0,0,0,0,1,0,0,1,0,0,0
three,ethree,0,0,1,1,0,0,0,0,0,0,0
throttle,throttle,2,1,1,0,0,0,0,0,0,1,0
throttle,therottle,0,0,0,0,1,0,0,1,0,0,0
throttle,ethrottle,0,0,1,1,0,0,0,0,0,0,0
trot,trot,2,0,1,1,0,0,0,0,0,0,1
trot,terot,0,0,0,0,0,1,0,0,0,1,0
trot,etrot,0,0,0,1,1,0,0,0,0,0,0
tweaking,tweaking,2,1,1,0,0,0,0,0,0,1,0
tweaking,teweaking,0,0,0,0,1,0,0,1,0,0,0
tweaking,etweaking,0,0,1,1,0,0,0,0,0,0,0
twin,twin,2,0,1,1,0,0,0,0,0,0,1
twin,tewin,0,0,0,0,0,1,0,0,0,1,0
twin,etwin,0,0,0,1,1,0,0,0,0,0,0
twitches,twitches,2,1,1,0,0,0,0,0,0,1,0
twitches,tewitches,0,0,0,0,1,0,0,1,0,0,0
twitches,etwitches,0,0,1,1,0,0,0,0,0,0,0
