Input,Output,Frequency,DEP-[ə]/S_T,C//V,C/V,L-ANCHOR,CONTIGUITY,DEP-[ə]/S_N,DEP-[ə]/S_L,DEP-[ə]/S_W,DEP-[ə]/O_R,COMPLEX
smelling,semelling,0,0,0,0,0,1,1,0,0,0,0
smelling,esmelling,5,0,0,1,1,0,0,0,0,0,0
smiles,smiles,25,0,1,1,0,0,0,0,0,0,1
smiles,semiles,0,0,0,0,0,1,1,0,0,0,0
smiles,esmiles,5,0,0,1,1,0,0,0,0,0,0
smith,smith,24,0,1,1,0,0,0,0,0,0,1
smith,semith,0,0,0,0,0,1,1,0,0,0,0
smith,esmith,5,0,0,1,1,0,0,0,0,0,0
smog,smog,27,0,1,1,0,0,0,0,0,0,1
smog,semog,0,0,0,0,0,1,1,0,0,0,0
smog,esmog,3,0,0,1,1,0,0,0,0,0,0
snag,snag,25,0,1,1,0,0,0,0,0,0,1
snag,senag,0,0,0,0,0,1,1,0,0,0,0
snag,esnag,5,0,0,1,1,0,0,0,0,0,0
snaps,snaps,24,0,1,1,0,0,0,0,0,0,1
snaps,senaps,0,0,0,0,0,1,1,0,0,0,0
snaps,esnaps,6,0,0,1,1,0,0,0,0,0,0
snatch,snatch,25,0,1,1,0,0,0,0,0,0,1
snatch,senatch,0,0,0,0,0,1,1,0,0,0,0
snatch,esnatch,5,0,0,1,1,0,0,0,0,0,0
sniffs,sniffs,23,0,1,1,0,0,0,0,0,0,1
sniffs,seniffs,0,0,0,0,0,1,1,0,0,0,0
sniffs,esniffs,7,0,0,1,1,0,0,0,0,0,0
snips,snips,25,0,1,1,0,0,0,0,0,0,1
snips,senips,0,0,0,0,0,1,1,0,0,0,0
snips,esnips,5,0,0,1,1,0,0,0,0,0,0
snoops,snoops,24,0,1,1,0,0,0,0,0,0,1
snoops,senoops,0,0,0,0,0,1,1,0,0,0,0
snoops,esnoops,6,0,0,1,1,0,0,0,0,0,0
snow,snow,26,0,1,1,0,0,0,0,0,0,1
snow,senow,0,0,0,0,0,1,1,0,0,0,0
snow,esnow,4,0,0,1,1,0,0,0,0,0,0
spark,spark,24,0,1,1,0,0,0,0,0,0,1
spark,separk,0,1,0,0,0,1,0,0,0,0,0
spark,espark,6,0,0,1,1,0,0,0,0,0,0
speed,speed,22,0,1,1,0,0,0,0,0,0,1
speed,sepeed,0,1,0,0,0,1,0,0,0,0,0
speed,espeed,8,0,0,1,1,0,0,0,0,0,0
start,start,40,0,1,1,0,0,0,0,0,0,1
start,setart,0,1,0,0,0,1,0,0,0,0,0
start,estart,11,0,0,1,1,0,0,0,0,0,0
starts,starts,27,0,1,1,0,0,0,0,0,0,1
starts,setarts,0,1,0,0,0,1,0,0,0,0,0
starts,estarts,10,0,0,1,1,0,0,0,0,0,0
steps,steps,24,0,1,1,0,0,0,0,0,0,1
steps,seteps,0,1,0,0,0,1,0,0,0,0,0
steps,esteps,6,0,0,1,1,0,0,0,0,0,0
stop,stop,26,0,1,1,0,0,0,0,0,0,1
stop,setop,0,1,0,0,0,1,0,0,0,0,0
stop,estop,4,0,0,1,1,0,0,0,0,0,0
swats,swats,28,0,1,1,0,0,0,0,0,0,1
swats,sewats,2,0,0,0,0,1,0,0,1,0,0
swats,eswats,0,0,0,1,1,0,0,0,0,0,0
sweeping,sweeping,25,0,1,1,0,0,0,0,0,0,1
sweeping,seweeping,4,0,0,0,0,1,0,0,1,0,0
sweeping,esweeping,0,0,0,1,1,0,0,0,0,0,0
sweeps,sweeps,28,0,1,1,0,0,0,0,0,0,1
sweeps,seweeps,1,0,0,0,0,1,0,0,1,0,0
sweeps,esweeps,1,0,0,1,1,0,0,0,0,0,0
swim,swim,27,0,1,1,0,0,0,0,0,0,1
swim,sewim,2,0,0,0,0,1,0,0,1,0,0
swim,eswim,1,0,0,1,1,0,0,0,0,0,0
swoon,swoon,25,0,1,1,0,0,0,0,0,0,1
swoon,sewoon,5,0,0,0,0,1,0,0,1,0,0
swoon,eswoon,0,0,0,1,1,0,0,0,0,0,0
thrashing,thrashing,24,0,1,1,0,0,0,0,0,0,1
thrashing,therashing,5,0,0,0,0,1,0,0,0,1,0
thrashing,ethrashing,0,0,0,1,1,0,0,0,0,0,0
thread,thread,24,0,1,1,0,0,0,0,0,0,1
thread,theread,6,0,0,0,0,1,0,0,0,1,0
thread,ethread,0,0,0,1,1,0,0,0,0,0,0
three,three,25,0,1,1,0,0,0,0,0,0,1
three,theree,5,0,0,0,0,1,0,0,0,1,0
three,ethree,0,0,0,1,1,0,0,0,0,0,0
throttle,throttle,24,0,1,1,0,0,0,0,0,0,1
throttle,therottle,3,0,0,0,0,1,0,0,0,1,0
throttle,ethrottle,0,0,0,1,1,0,0,0,0,0,0
trot,trot,26,0,1,1,0,0,0,0,0,0,1
trot,terot,4,0,0,0,0,1,0,0,0,1,0
trot,etrot,0,0,0,1,1,0,0,0,0,0,0
tweaking,tweaking,26,0,1,1,0,0,0,0,0,0,1
tweaking,teweaking,3,0,0,0,0,1,0,0,0,1,0
tweaking,etweaking,0,0,0,1,1,0,0,0,0,0,0
twin,twin,25,0,1,1,0,0,0,0,0,0,1
twin,tewin,5,0,0,0,0,1,0,0,0,1,0
twin,etwin,0,0,0,1,1,0,0,0,0,0,0
twitches,twitches,26,0,1,1,0,0,0,0,0,0,1
twitches,tewitches,3,0,0,0,0,1,0,0,0,1,0
twitches,etwitches,0,0,0,1,1,0,0,0,0,0,0
