participant,word ,onset,ep_type,last_sound ,context 
2,freaks ,fr ,none,i,passage 
2,starts ,st ,none,d,passage 
2,trot ,tr ,none,na,context 
2,snaps ,sn ,none,na,context 
2,dwayne ,dw ,anaptyxis ,na,context 
2,cute ,kj ,none,na,context 
2,swats ,sw ,none,na,context 
2,gloves ,gl ,none,na,context 
2,smith ,sm ,none,na,context 
2,starts ,st ,none,na,context 
2,steps ,st ,none,na,context 
2,slugs ,sl ,none,na,context 
2,quacks ,kw ,none,na,context 
2,skip ,sk ,none,na,context 
2,flying ,fl ,none,na,context 
2,drink ,dr ,none,na,context 
2,grabs ,gr ,none,na,context 
2,smog ,sm ,none,na,context 
2,beautiful ,bj ,none,na,context 
2,dwarf ,dw ,none,na,context 
2,quickly ,kw ,none,na,context 
2,snoops ,sn ,none,na,context 
2,bring ,br ,none,na,context 
2,start ,st ,none,na,context 
2,flickering ,fl ,none,na,context 
2,spark ,sp ,none,na,context 
2,small ,sm ,none,na,context 
2,scoop ,sk ,none,na,context 
2,skin ,sk ,none,na,context 
2,snag ,sn ,none,na,context 
2,thread ,θr ,none,na,context 
2,sweeps ,sw ,none,na,context 
2,please ,pl ,none,na,context 
2,floor ,fl ,none,na,context 
2,thrashing ,θr,none,na,context 
2,speed ,sp ,none,na,context 
2,smiles ,sm ,none,na,context 
2,swoon ,sw ,none,na,context 
2,slouched ,sl ,none,na,context 
2,swim ,sw ,none,na,context 
2,dreaming ,dr ,none,na,context 
2,twin ,tw ,none,na,context 
2,bugle ,bj ,none,na,context 
2,clean ,kl ,none,na,context 
2,snips ,sn ,none,na,context 
2,ground ,gr ,none,na,context 
2,slips ,sl ,none,na,context 
2,place ,pl ,none,na,context 
2,tweaking ,tw ,none,na,context 
2,sweeping ,sw ,none,na,context 
2,sloth ,sl ,none,na,context 
2,spreading ,sp,none,na,context 
2,sniffs ,sn ,none,na,context 
2,flock ,fl ,none,na,context 
2,snatch ,sn ,none,na,context 
2,small ,sm ,none,na,context 
2,slow ,sl ,none,na,context 
2,stop ,st ,none,na,context 
2,smacked ,sm ,none,na,context 
2,skeptical ,sk ,none,na,context 
2,fly ,fl ,none,na,context 
2,breeze ,br ,none,na,context 
2,queen ,kw ,none,na,context 
2,twitches ,tw ,none,na,context 
2,throttle ,θr,none,na,context 
2,brings ,br ,none,na,context 
2,three ,θr,none,na,context 
2,sleep ,sl ,none,na,context 
2,scarlett ,sk ,prothesis ,na,context 
2,creek ,kr ,none,na,context 
2,plethora ,pl ,none,na,context 
2,snow ,sn ,none,na,context 
2,smelling ,sm ,none,na,context 
2,brother ,br ,none,na,context 
2,freaks ,fr ,none,na,context 
2,starts ,st ,none,na,context 
3,trot ,tr ,none,z,passage 
3,snaps ,sn ,none,n,passage 
3,dwayne ,dw ,none,na,passage 
3,cute ,kj ,none,e,passage 
3,swats ,sw ,none,d,passage 
3,gloves ,gl ,none,l,passage 
3,smith ,sm ,none,na,passage 
3,starts ,st ,none,s,passage 
3,steps ,st ,none,n,passage 
3,slugs ,sl ,none,i,passage 
3,quacks ,kw ,none,d,passage 
3,skip ,sk ,none,n,passage 
3,flying ,fl ,none,s,passage 
3,drink ,dr ,none,i,passage 
3,grabs ,gr ,none,d,passage 
3,smog ,sm ,none,k,passage 
3,beautiful ,bj ,none,r,passage 
3,dwarf ,dw ,none,e,passage 
3,quickly ,kw ,none,r,passage 
3,snoops ,sn ,none,d,passage 
3,bring ,br ,none,r,passage 
3,start ,st ,none,d,passage 
3,flickering ,fl ,none,t,passage 
3,spark ,sp ,none,g,passage 
3,small ,sm ,none,s,passage 
3,scoop ,sk ,none,n,passage 
