participant,word,onset,ep_type,has_ep,preceding_v,context,nap_sonority,sonority_delta,gender,dominant_language,current_farsi_exposure,current_english_exposure,length_of_farsi_residence,farsi_speaking_proficiency,farsi_understanding_proficiency,farsi_reading_proficiency,age_of_english_acquisition,age_of_english_fluency,length_of_english_residence,english_speaking_proficiency,english_understanding_proficiency,english_reading_proficiency,PC1,PC2
1,start,st,none,FALSE,FALSE,passage,3,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,flickering,fl,none,FALSE,FALSE,passage,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,spark,sp,none,FALSE,FALSE,passage,3,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,small,sm,prothesis,TRUE,FALSE,passage,5,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,scoop,sk,none,FALSE,FALSE,passage,3,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,skin,sk,prothesis,TRUE,FALSE,passage,3,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,snag,sn,none,FALSE,FALSE,passage,5,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,thread,θr,none,FALSE,FALSE,passage,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,sweeps,sw,none,FALSE,FALSE,passage,6,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,please,pl,none,FALSE,FALSE,passage,5,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,floor,fl,none,FALSE,TRUE,passage,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,thrashing,θr,none,FALSE,FALSE,passage,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,speed,sp,prothesis,TRUE,FALSE,passage,3,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,smiles,sm,none,FALSE,FALSE,passage,5,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,swoon,sw,none,FALSE,FALSE,passage,6,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,slouched,sl,none,FALSE,FALSE,passage,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
