Input,Output,Frequency,SyllableContact_4,SyllableContact_3,SyllableContact_2,SyllableContact_1,SyllableContact_-1,SyllableContact_-2,SyllableContact_-3,SyllableContact_-4,SyllableContact_-5,*Dep,SyllableContact,Contiguity,COMP-S,COMP-T
smog,esmog,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0
snag,snag,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0
snag,senag,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
snag,esnag,5,0,0,0,1,0,0,0,0,0,1,1,0,0,0
snaps,snaps,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0
snaps,senaps,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
snaps,esnaps,5,0,0,0,1,0,0,0,0,0,1,1,0,0,0
snatch,snatch,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0
snatch,senatch,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
snatch,esnatch,4,0,0,0,1,0,0,0,0,0,1,1,0,0,0
sniffs,sniffs,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sniffs,seniffs,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
sniffs,esniffs,7,0,0,0,1,0,0,0,0,0,1,1,0,0,0
snips,snips,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0
snips,senips,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
snips,esnips,5,0,0,0,1,0,0,0,0,0,1,1,0,0,0
snoops,snoops,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0
snoops,senoops,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
snoops,esnoops,6,0,0,0,1,0,0,0,0,0,1,1,0,0,0
snow,snow,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0
snow,senow,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
snow,esnow,4,0,0,0,1,0,0,0,0,0,1,1,0,0,0
spark,spark,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0
spark,separk,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
spark,espark,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0
speed,speed,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0
speed,sepeed,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
speed,espeed,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0
start,start,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0
start,setart,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
start,estart,11,0,0,0,0,1,0,0,0,0,1,0,0,0,0
starts,starts,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0
starts,setarts,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
starts,estarts,10,0,0,0,0,1,0,0,0,0,1,0,0,0,0
steps,steps,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0
steps,seteps,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
steps,esteps,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0
stop,stop,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0
stop,setop,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
stop,estop,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0
swats,swats,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0
swats,sewats,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0
swats,eswats,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
sweeping,sweeping,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sweeping,seweeping,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0
sweeping,esweeping,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
sweeps,sweeps,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sweeps,seweeps,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
sweeps,esweeps,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
swim,swim,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0
swim,sewim,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0
swim,eswim,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
swoon,swoon,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0
swoon,sewoon,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0
swoon,eswoon,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
thrashing,thrashing,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1
thrashing,therashing,5,0,0,0,0,0,1,0,0,0,1,0,1,0,0
thrashing,ethrashing,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
thread,thread,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1
thread,theread,6,0,0,0,0,0,1,0,0,0,1,0,1,0,0
thread,ethread,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
three,three,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1
three,theree,5,0,0,0,0,0,1,0,0,0,1,0,1,0,0
three,ethree,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
throttle,throttle,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1
throttle,therottle,3,0,0,0,0,0,1,0,0,0,1,0,1,0,0
throttle,ethrottle,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
trot,trot,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1
trot,terot,3,0,0,0,0,0,1,0,0,0,1,0,1,0,0
trot,etrot,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
tweaking,tweaking,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tweaking,teweaking,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0
tweaking,etweaking,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
twin,twin,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1
twin,tewin,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0
twin,etwin,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
twitches,twitches,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1
twitches,tewitches,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0
twitches,etwitches,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
